Reference,Qty,Value,,,Linki,Footprint,Datasheet
"C1,C5,C7,C11,C12,C13,C15,C17,C19,C20,C23,C25",12,100n,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
"C2,C4",2,22u,,,,Capacitor_SMD:CP_Elec_5x4.5,
"C3,C21,C24",3,470u,,,,Capacitor_SMD:CP_Elec_5x4.5,
"C6,C8,C9",3,10u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C10,1,330u,,,,Capacitor_SMD:CP_Elec_5x4.5,
"D1,D2,D5",3,RED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
D6,1,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
"D7,D9",2,,,,"MM3Z3V3ST1G ONSEMI - Diode: Zener | 0.5W; 3.3V; SMD; reel,tape; SOD323; single diode | Transfer Multisort Elektronik",Diode_SMD:D_SOD-323_HandSoldering,https://diotec.com/tl_files/diotec/files/pdf/datasheets/mm3z2v4.pdf
"D10,D11,D13",3,SS34,,,"SS34 CDIL - Dioda: prostownicza Schottky | DO214AA; SMD; 40V; 3A; rolka,ta?ma; SS34-CDI | Transfer Multisort Elektronik Polska",Diode_SMD:D_SMB_Handsoldering,https://www.vishay.com/docs/88751/ss32.pdf
D12,1,SS34,,,"SS34 CDIL - Dioda: prostownicza Schottky | DO214AA; SMD; 40V; 3A; rolka,ta?ma; SS34-CDI | Transfer Multisort Elektronik Polska",Diode_SMD:D_SMA_Handsoldering,https://www.vishay.com/docs/88751/ss32.pdf
J1,1,Conn_01x06_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,
"J2,J5",2,Conn_01x02_Pin,,,,Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical,
J6,1,Conn_01x04_Pin,,,,Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,
J7,1,USB_C_Receptacle_USB2.0_16P,,,USB4105-GF-A GCT - Z??cze: USB C | gniazdo; SMT; PIN: 16; pozioma; top board mount; 5A | Transfer Multisort Elektronik Polska,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
L1,1,33u,,,,Inductor_SMD:L_7.3x7.3_H4.5,
Q1,1,MMFTP3401-AQ,,,"MMFTP3401-AQ DIOTEC SEMICONDUCTOR - Tranzystor: P-MOSFET | unipolarny; -30V; -4A; Idm: -27A; 1,4W; SOT23; MMFTP3401-AQ-DIO | Transfer Multisort Elektronik Polska",Package_TO_SOT_SMD:SOT-23-3,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs
"Q3,Q9",2,SS8050,,,"SS8050-M YANGJIE TECHNOLOGY - Tranzystor: NPN | bipolarny; 25V; 1,5A; 0,3W; SOT23; SS8050-M-YAN | Transfer Multisort Elektronik Polska",Package_TO_SOT_SMD:SOT-23,http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf
"Q4,Q5,Q6",3,IRLZ44N,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.irf.com/product-info/datasheets/data/irlz44n.pdf
"Q7,Q8",2,IRF4905,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c
"R1,R2,R8,R27,R42",5,1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R3,R5,R12,R13,R37,R39,R40,R45,R46",9,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R4,R32,R47,R48,R49,R50,R51",7,100,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R6,R7",2,5k1,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R9,1,150,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R10,R11,R14",3,200,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R15,R16,R17",3,2000,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R18,R19,R20",3,16,,,,Resistor_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P5.08mm_Vertical,
R21,1,330k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R22,R24,R26,R36,R41",5,100k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R23,1,180k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R25,1,33k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R29,R30",2,10,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R31,R33",2,2.2k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R34,R35",2,2k2,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R43,R44",2,220,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_shunt2,1,10m,,,MAR251203FR010S WAYON - Rezystor: thick film | pomiarowy; SMD; 2512; 10m?; 3W; ±1%; -55?170°C | Transfer Multisort Elektronik Polska,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
"SW3,SW4",2,SW_Push,,,,Button_Switch_THT:SW_PUSH_6mm_H9.5mm,
TH1,1,PT100,,,"TT-PT100A-2050-11-AUNI TEWA TEMPERATURE SENSORS - Czujnik: temperatury | Pt100; 100?; kl.A; Wym.zew: 5x2x1,1mm; TT-PT100A-2050-11 | Transfer Multisort Elektronik Polska",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://www.heraeus.com/media/media/group/doc_group/products_1/hst/sot_to/de_15/to_92_d.pdf
